dataset,case,kind,metric,n,missing,min,q25,median,q75,max,mean
Task04_Hippocampus,stale_crop_origin,own_wrapper_mutation,file_unavailable_elapsed_seconds,0,260,,,,,,
Task04_Hippocampus,wrong_image_kernel,own_wrapper_mutation,producer_seconds,260,0,0.002168199998777709,0.0036344750005810056,0.004343650000009802,0.0055335500005639915,0.010446599999340833,0.004533143076871336
Task04_Hippocampus,wrong_image_kernel,own_wrapper_mutation,witness_seconds,260,0,0.02251109999997425,0.037589174999538955,0.042975799999112496,0.04980035000016869,0.08602529999916442,0.043458598076967274
Task04_Hippocampus,wrong_image_kernel,own_wrapper_mutation,file_io_seconds,3,257,0.03378060000068217,0.033933050000996445,0.03408550000131072,0.047632350000640145,0.06117919999996957,0.04301510000065415
Task04_Hippocampus,wrong_image_kernel,own_wrapper_mutation,file_witness_seconds,3,257,0.022371099999872968,0.023634649999621615,0.024898199999370263,0.03783244999976887,0.050766700000167475,0.032678666666470235
Task04_Hippocampus,wrong_image_kernel,own_wrapper_mutation,file_unavailable_elapsed_seconds,0,260,,,,,,
Task09_Spleen,crop_roi_margin,valid_control,producer_seconds,41,0,0.0008880000004864996,0.001144600000770879,0.0014241999997466337,0.002167599999665981,0.0055938999994396,0.0019296999999801855
Task09_Spleen,crop_roi_margin,valid_control,witness_seconds,41,0,0.10528479999993579,0.26574840000102995,0.31262860000060755,0.4091226000000461,1.0926110000000335,0.3663813000001072
Task09_Spleen,crop_roi_margin,valid_control,file_io_seconds,3,38,1.1574725999998918,1.4985048999997161,1.8395371999995405,2.9933978999997635,4.1472585999999865,2.381422799999806
Task09_Spleen,crop_roi_margin,valid_control,file_witness_seconds,3,38,0.1881649999995716,0.29835944999922503,0.4085538999988785,0.7174646499988739,1.0263753999988694,0.5410314333324399
Task09_Spleen,crop_roi_margin,valid_control,file_unavailable_elapsed_seconds,0,41,,,,,,
Task09_Spleen,half_voxel_sampling_displacement,own_wrapper_mutation,producer_seconds,41,0,0.016922599999816157,0.04186839999965741,0.05888559999948484,0.08872089999931632,0.1922075999991648,0.07230142195112421
Task09_Spleen,half_voxel_sampling_displacement,own_wrapper_mutation,witness_seconds,41,0,0.257050000000163,0.578182299999753,0.9353353999995306,1.3182820000001811,2.671392800000831,1.0351989439024647
Task09_Spleen,half_voxel_sampling_displacement,own_wrapper_mutation,file_io_seconds,3,38,1.0233860000007553,1.1056361000000834,1.1878861999994115,1.361826349999319,1.5357664999992267,1.2490128999997978
Task09_Spleen,half_voxel_sampling_displacement,own_wrapper_mutation,file_witness_seconds,3,38,0.9903489999996964,1.0253712499998073,1.0603934999999183,1.2139500000002954,1.3675065000006725,1.139416333333429
Task09_Spleen,half_voxel_sampling_displacement,own_wrapper_mutation,file_unavailable_elapsed_seconds,0,41,,,,,,
Task09_Spleen,identity,valid_control,producer_seconds,41,0,0.0,0.0,0.0,0.0,0.0,0.0
Task09_Spleen,identity,valid_control,witness_seconds,41,0,0.028207299999849056,0.04946790000030887,0.08712120000018331,0.13323310000123456,0.3975116000001435,0.10458444390248432
Task09_Spleen,identity,valid_control,file_io_seconds,3,38,0.1195889000009629,0.19796245000088675,0.2763360000008106,0.4396139000009498,0.602891800001089,0.33293890000095416
Task09_Spleen,identity,valid_control,file_witness_seconds,3,38,0.05411110000022745,0.10851210000055289,0.16291310000087833,0.28968985000028624,0.41646659999969415,0.21116360000026665
Task09_Spleen,identity,valid_control,file_unavailable_elapsed_seconds,0,41,,,,,,
Task09_Spleen,isotropic_0p8mm,valid_control,producer_seconds,41,0,0.01988820000042324,0.04150850000041828,0.06335680000120192,0.09439579999889247,0.2710804999987886,0.07795984146349194
Task09_Spleen,isotropic_0p8mm,valid_control,witness_seconds,41,0,0.2759291000002122,0.5725099999999657,0.960681200000181,1.3715635999997176,2.8051498999993782,1.0750994341461793
Task09_Spleen,isotropic_0p8mm,valid_control,file_io_seconds,3,38,1.011588400000619,1.0844178500001362,1.1572472999996535,1.3478361500001483,1.5384250000006432,1.235753566666972
Task09_Spleen,isotropic_0p8mm,valid_control,file_witness_seconds,3,38,0.9360704999999143,1.023357049999504,1.1106435999990936,1.2524898499987103,1.394336099998327,1.147016733332445
